rt,response,stimulus,selection_rts,selection_values,trial_category,trial_type,trial_index,time_elapsed,internal_node_id,trial_num,stiffnessLevel,clothType,frame_duration_ms_set,frame_duration_ms_min,frame_duration_ms_max,frame_duration_ms_avg,min_size_px_set,max_size_px_set,min_size_px_actualized,max_size_px_actualized,avg_size_px_actualized,scaling_factor_set,pixels_per_degree_set,first_frame_height_px,first_frame_width_px,display_duration_s,dot_count,dot_radius_px,screen_height,screen_width,speed_rate,planned_final_speed,cloth_original_speed,gender,age,attentionScore,participantID,experiment_start_time,experiment_end_time,browser
6509,81,<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>,[5547.799999982119],"[""81""]",test,html-slider-response,21,276681,0.0-21.0,1,3,wind_m1_s003125,100,50.1,99.9,93.97,112,511,115.94,228.75,170.07,1.75,70,91.08,91.08,9.64,16,1.92,768,1366,0.979603077,171.1985925,174.7632245,female,50,81,plc-size-stf_5748814f7fd0ec000fb6e5bf,1571.9,"""2025-10-09T23:14:09.716Z""","{""browser"":""Chrome"",""version"":""141""}"
10305.1,37,<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>,[9608.100000023842],"[""37""]",test,html-slider-response,25,297277,0.0-25.0,2,1,wind_m1_s003125,100,15.8,99.9,92.94,112,511,94.43,346.82,198.77,1.75,70,131.3,131.3,10.21,16,1.92,768,1366,0.979603077,171.1985925,174.7632245,female,50,81,plc-size-stf_5748814f7fd0ec000fb6e5bf,1571.9,"""2025-10-09T23:14:09.716Z""","{""browser"":""Chrome"",""version"":""141""}"
5240.8,59,<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>,[4540.300000011921],"[""59""]",test,html-slider-response,29,312809,0.0-29.0,3,1,wind_m1_s003125,100,82.7,99.9,93.1,112,511,83.91,310.57,185.37,1.75,70,204.19,204.19,10.22,16,1.92,768,1366,0.979603077,171.1985925,174.7632245,female,50,81,plc-size-stf_5748814f7fd0ec000fb6e5bf,1571.9,"""2025-10-09T23:14:09.716Z""","{""browser"":""Chrome"",""version"":""141""}"
5710.1,60,<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>,[4926.799999982119],"[""60""]",test,html-slider-response,33,328879,0.0-33.0,4,2,wind_m1_s003125,100,82.7,99.9,93.89,112,511,111.51,223.04,164.47,1.75,70,87.38,87.38,10.29,16,1.92,768,1366,0.979603077,171.1985925,174.7632245,female,50,81,plc-size-stf_5748814f7fd0ec000fb6e5bf,1571.9,"""2025-10-09T23:14:09.716Z""","{""browser"":""Chrome"",""version"":""141""}"
3819.9,67,<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>,[2629.699999988079],"[""67""]",test,html-slider-response,37,342623,0.0-37.0,5,0,wind_m1_s003125,100,82.8,99.9,94.21,112,511,104.8,390.22,225.33,1.75,70,236.48,236.48,9.88,16,1.92,768,1366,0.979603077,171.1985925,174.7632245,female,50,81,plc-size-stf_5748814f7fd0ec000fb6e5bf,1571.9,"""2025-10-09T23:14:09.716Z""","{""browser"":""Chrome"",""version"":""141""}"
2815.9,29,<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>,"[1564,2069.7000000178814]","[""39"",""29""]",test,html-slider-response,41,355773,0.0-41.0,6,2,wind_m1_s003125,100,17,99.9,92.61,112,511,84.99,287.19,161.71,1.75,70,65.14,65.14,10.29,16,1.92,768,1366,0.979603077,171.1985925,174.7632245,female,50,81,plc-size-stf_5748814f7fd0ec000fb6e5bf,1571.9,"""2025-10-09T23:14:09.716Z""","{""browser"":""Chrome"",""version"":""141""}"
3671,63,<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>,[2990.0999999940395],"[""63""]",test,html-slider-response,45,369382,0.0-45.0,7,0,wind_m1_s003125,100,49.2,99.9,93.09,112,511,118.44,249.62,176.04,1.75,70,87.27,87.27,9.89,16,1.92,768,1366,0.979603077,171.1985925,174.7632245,female,50,81,plc-size-stf_5748814f7fd0ec000fb6e5bf,1571.9,"""2025-10-09T23:14:09.716Z""","{""browser"":""Chrome"",""version"":""141""}"
6007.6,74,<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>,[2954.7999999821186],"[""74""]",test,html-slider-response,49,385106,0.0-49.0,8,3,wind_m1_s003125,100,50.2,99.9,92.92,112,511,110.11,217.47,162.32,1.75,70,151.36,151.36,9.66,16,1.92,768,1366,0.979603077,171.1985925,174.7632245,female,50,81,plc-size-stf_5748814f7fd0ec000fb6e5bf,1571.9,"""2025-10-09T23:14:09.716Z""","{""browser"":""Chrome"",""version"":""141""}"
15753.2,60,<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>,[14965.59999999404],"[""60""]",test,html-slider-response,53,410553,0.0-53.0,9,3,wind_m1_s003125,100,66.2,99.9,92.79,112,511,108.69,214.67,160.66,1.75,70,149.41,149.41,9.64,16,1.92,768,1366,0.979603077,171.1985925,174.7632245,female,50,81,plc-size-stf_5748814f7fd0ec000fb6e5bf,1571.9,"""2025-10-09T23:14:09.716Z""","{""browser"":""Chrome"",""version"":""141""}"
9129.4,46,<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>,[8098.199999988079],"[""46""]",test,html-slider-response,57,429390,0.0-57.0,10,3,wind_m1_s003125,100,33.2,99.9,94.1,112,511,107.51,212.07,158.53,1.75,70,147.79,147.79,9.65,16,1.92,768,1366,0.979603077,171.1985925,174.7632245,female,50,81,plc-size-stf_5748814f7fd0ec000fb6e5bf,1571.9,"""2025-10-09T23:14:09.716Z""","{""browser"":""Chrome"",""version"":""141""}"
