"rt","response","stimulus","selection_rts","selection_values","trial_category","trial_type","trial_index","time_elapsed","internal_node_id","trial_num","stiffnessLevel","clothType","frame_duration_ms_set","frame_duration_ms_min","frame_duration_ms_max","frame_duration_ms_avg","min_size_px_set","max_size_px_set","min_size_px_actualized","max_size_px_actualized","avg_size_px_actualized","scaling_factor_set","pixels_per_degree_set","first_frame_height_px","first_frame_width_px","display_duration_s","dot_count","dot_radius_px","screen_height","screen_width","speed_rate","planned_final_speed","cloth_original_speed","gender","age","attentionScore","participantID","experiment_start_time","experiment_end_time","browser"
"5813.999999999971","81","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[4605.999999999971]","[""81""]","test","html-slider-response","21","146908","0.0-21.0","1","0","wind_m1_s0125","100","46","100","86.1","112","511","83.17","292.29","165.46","1.75","70","61.28","61.28","9.88","16","2.3625","945","1512","0.973322342069355","171.19859251397378","175.89095114162586","male","38","100","plc-size-stf_6685c283c7d2e84750290782","6894","""2025-10-09T22:22:30.489Z""","{""browser"":""Safari"",""version"":""18""}"
"2944.000000000029","94","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1906]","[""94""]","test","html-slider-response","25","160101","0.0-25.0","2","1","wind_m1_s0125","100","83","100","89.03","112","511","115.08","241.53","177.33","1.75","70","91.44","91.44","10.22","16","2.3625","945","1512","0.973322342069355","171.19859251397378","175.89095114162586","male","38","100","plc-size-stf_6685c283c7d2e84750290782","6894","""2025-10-09T22:22:30.489Z""","{""browser"":""Safari"",""version"":""18""}"
"2556.000000000029","85","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1727]","[""85""]","test","html-slider-response","29","172963","0.0-29.0","3","2","wind_m1_s0125","100","50","100","86.44","112","511","116.79","232.6","172.61","1.75","70","91.52","91.52","10.28","16","2.3625","945","1512","0.973322342069355","171.19859251397378","175.89095114162586","male","38","100","plc-size-stf_6685c283c7d2e84750290782","6894","""2025-10-09T22:22:30.489Z""","{""browser"":""Safari"",""version"":""18""}"
"2305","34","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1481]","[""34""]","test","html-slider-response","33","185180","0.0-33.0","4","0","wind_m1_s0125","100","82","100","84.84","112","511","85.91","321.02","177.99","1.75","70","63.52","63.52","9.88","16","2.3625","945","1512","0.973322342069355","171.19859251397378","175.89095114162586","male","38","100","plc-size-stf_6685c283c7d2e84750290782","6894","""2025-10-09T22:22:30.489Z""","{""browser"":""Safari"",""version"":""18""}"
"1995","66","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1384]","[""66""]","test","html-slider-response","37","197099","0.0-37.0","5","0","wind_m1_s0125","100","66","100","87.38","112","511","76.55","282.33","161.34","1.75","70","98.7","98.7","9.89","16","2.3625","945","1512","0.973322342069355","171.19859251397378","175.89095114162586","male","38","100","plc-size-stf_6685c283c7d2e84750290782","6894","""2025-10-09T22:22:30.489Z""","{""browser"":""Safari"",""version"":""18""}"
"2802.000000000029","98","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1884]","[""98""]","test","html-slider-response","41","209588","0.0-41.0","6","3","wind_m1_s0125","100","83","100","88.46","112","511","87.39","296.98","172.73","1.75","70","119.26","119.26","9.66","16","2.3625","945","1512","0.973322342069355","171.19859251397378","175.89095114162586","male","38","100","plc-size-stf_6685c283c7d2e84750290782","6894","""2025-10-09T22:22:30.489Z""","{""browser"":""Safari"",""version"":""18""}"
"2387","37","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1479]","[""37""]","test","html-slider-response","45","221888","0.0-45.0","7","0","wind_m1_s0125","100","53","100","88.35","112","511","81.86","287.97","166.65","1.75","70","105.55","105.55","9.88","16","2.3625","945","1512","0.973322342069355","171.19859251397378","175.89095114162586","male","38","100","plc-size-stf_6685c283c7d2e84750290782","6894","""2025-10-09T22:22:30.489Z""","{""browser"":""Safari"",""version"":""18""}"
"3914","97","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1472,2731.000000000029]","[""90"",""97""]","test","html-slider-response","49","235479","0.0-49.0","8","3","wind_m1_s0125","100","33","100","87.05","112","511","88.58","305.84","185.82","1.75","70","69.43","69.43","9.65","16","2.3625","945","1512","0.973322342069355","171.19859251397378","175.89095114162586","male","38","100","plc-size-stf_6685c283c7d2e84750290782","6894","""2025-10-09T22:22:30.489Z""","{""browser"":""Safari"",""version"":""18""}"
"2732","84","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[2003]","[""84""]","test","html-slider-response","53","247884","0.0-53.0","9","3","wind_m1_s0125","100","72","100","89.44","112","511","115.5","227.06","170.43","1.75","70","158.77","158.77","9.64","16","2.3625","945","1512","0.973322342069355","171.19859251397378","175.89095114162586","male","38","100","plc-size-stf_6685c283c7d2e84750290782","6894","""2025-10-09T22:22:30.489Z""","{""browser"":""Safari"",""version"":""18""}"
"2926","18","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1572.0000000000582]","[""18""]","test","html-slider-response","57","261058","0.0-57.0","10","1","wind_m1_s0125","100","50","100","88.41","112","511","96.61","351.55","203.71","1.75","70","231.91","231.91","10.21","16","2.3625","945","1512","0.973322342069355","171.19859251397378","175.89095114162586","male","38","100","plc-size-stf_6685c283c7d2e84750290782","6894","""2025-10-09T22:22:30.489Z""","{""browser"":""Safari"",""version"":""18""}"
