"rt","response","stimulus","selection_rts","selection_values","trial_category","trial_type","trial_index","time_elapsed","internal_node_id","trial_num","stiffnessLevel","clothType","frame_duration_ms_set","frame_duration_ms_min","frame_duration_ms_max","frame_duration_ms_avg","min_size_px_set","max_size_px_set","min_size_px_actualized","max_size_px_actualized","avg_size_px_actualized","scaling_factor_set","pixels_per_degree_set","first_frame_height_px","first_frame_width_px","display_duration_s","dot_count","dot_radius_px","screen_height","screen_width","speed_rate","planned_final_speed","cloth_original_speed","gender","age","attentionScore","participantID","experiment_start_time","experiment_end_time","browser"
"7073.600000023842","100","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[3835.2000000476837,5717.200000047684]","[""95"",""100""]","test","html-slider-response","21","266549","0.0-21.0","1","3","wind_m1_s00078125","100","82.9","100.1","94.01","112","511","87.75","301.67","162.98","1.75","70","120.6","120.6","9.65","16","1.92","768","1366","1.012493460583252","171.19859251397378","169.0861217171259","male","34","100","plc-size-stf_6696fd1fb46668008566a9bd","17779.69999998808","""2025-10-09T23:07:19.270Z""","{""browser"":""Chrome"",""version"":""140""}"
"6505.099999964237","70","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[4706.199999988079]","[""70""]","test","html-slider-response","25","283044","0.0-25.0","2","0","wind_m1_s00078125","100","16.7","116.6","93.61","112","511","86.56","302.1","173.77","1.75","70","111.76","111.76","9.89","16","1.92","768","1366","1.012493460583252","171.19859251397378","169.0861217171259","male","34","100","plc-size-stf_6696fd1fb46668008566a9bd","17779.69999998808","""2025-10-09T23:07:19.270Z""","{""browser"":""Chrome"",""version"":""140""}"
"9287.199999988079","82","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[7539.599999964237]","[""82""]","test","html-slider-response","29","302664","0.0-29.0","3","2","wind_m1_s00078125","100","16.6","99.9","92.57","112","511","105.43","354.58","203.69","1.75","70","81","81","10.28","16","1.92","768","1366","1.012493460583252","171.19859251397378","169.0861217171259","male","34","100","plc-size-stf_6696fd1fb46668008566a9bd","17779.69999998808","""2025-10-09T23:07:19.270Z""","{""browser"":""Chrome"",""version"":""140""}"
"8088.5","83","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[6617.800000011921]","[""83""]","test","html-slider-response","33","321011","0.0-33.0","4","1","wind_m1_s00078125","100","82.6","99.9","93.17","112","511","93.83","340.49","197.89","1.75","70","74.56","74.56","10.22","16","1.92","768","1366","1.012493460583252","171.19859251397378","169.0861217171259","male","34","100","plc-size-stf_6696fd1fb46668008566a9bd","17779.69999998808","""2025-10-09T23:07:19.270Z""","{""browser"":""Chrome"",""version"":""140""}"
"3992.199999988079","100","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[2044.0999999642372]","[""100""]","test","html-slider-response","37","334731","0.0-37.0","5","3","wind_m1_s00078125","100","50.5","99.9","92.89","112","511","92.04","316.17","178.03","1.75","70","72.23","72.23","9.65","16","1.92","768","1366","1.012493460583252","171.19859251397378","169.0861217171259","male","34","100","plc-size-stf_6696fd1fb46668008566a9bd","17779.69999998808","""2025-10-09T23:07:19.270Z""","{""browser"":""Chrome"",""version"":""140""}"
"6258","65","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[4257.399999976158]","[""65""]","test","html-slider-response","41","350901","0.0-41.0","6","0","wind_m1_s00078125","100","50","99.9","91.67","112","511","91.64","318.39","184.96","1.75","70","66.84","66.84","9.88","16","1.92","768","1366","1.012493460583252","171.19859251397378","169.0861217171259","male","34","100","plc-size-stf_6696fd1fb46668008566a9bd","17779.69999998808","""2025-10-09T23:07:19.270Z""","{""browser"":""Chrome"",""version"":""140""}"
"4040.199999988079","60","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[2725.600000023842]","[""60""]","test","html-slider-response","45","365217","0.0-45.0","7","1","wind_m1_s00078125","100","49.8","99.9","92.59","112","511","104.37","218.99","159.3","1.75","70","82.41","82.41","10.22","16","1.92","768","1366","1.012493460583252","171.19859251397378","169.0861217171259","male","34","100","plc-size-stf_6696fd1fb46668008566a9bd","17779.69999998808","""2025-10-09T23:07:19.270Z""","{""browser"":""Chrome"",""version"":""140""}"
"8239.900000035763","61","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[2358.5,4622.5,7166.900000035763]","[""51"",""59"",""61""]","test","html-slider-response","49","383783","0.0-49.0","8","2","wind_m1_s00078125","100","83","99.9","93.9","112","511","70.18","242.75","137.33","1.75","70","96.23","96.23","10.29","16","1.92","768","1366","1.012493460583252","171.19859251397378","169.0861217171259","male","34","100","plc-size-stf_6696fd1fb46668008566a9bd","17779.69999998808","""2025-10-09T23:07:19.270Z""","{""browser"":""Chrome"",""version"":""140""}"
"4073.600000023842","54","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[2866.199999988079]","[""54""]","test","html-slider-response","53","397785","0.0-53.0","9","0","wind_m1_s00078125","100","66.7","99.9","93.14","112","511","99.31","357.84","212.38","1.75","70","224.09","224.09","9.89","16","1.92","768","1366","1.012493460583252","171.19859251397378","169.0861217171259","male","34","100","plc-size-stf_6696fd1fb46668008566a9bd","17779.69999998808","""2025-10-09T23:07:19.270Z""","{""browser"":""Chrome"",""version"":""140""}"
"6572.699999988079","61","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[5447.199999988079]","[""61""]","test","html-slider-response","57","414669","0.0-57.0","10","2","wind_m1_s00078125","100","66.8","99.9","92.69","112","511","107.86","216.35","160.03","1.75","70","84.76","84.76","10.28","16","1.92","768","1366","1.012493460583252","171.19859251397378","169.0861217171259","male","34","100","plc-size-stf_6696fd1fb46668008566a9bd","17779.69999998808","""2025-10-09T23:07:19.270Z""","{""browser"":""Chrome"",""version"":""140""}"
