"rt","response","stimulus","selection_rts","selection_values","trial_category","trial_type","trial_index","time_elapsed","internal_node_id","trial_num","stiffnessLevel","clothType","frame_duration_ms_set","frame_duration_ms_min","frame_duration_ms_max","frame_duration_ms_avg","min_size_px_set","max_size_px_set","min_size_px_actualized","max_size_px_actualized","avg_size_px_actualized","scaling_factor_set","pixels_per_degree_set","first_frame_height_px","first_frame_width_px","display_duration_s","dot_count","dot_radius_px","screen_height","screen_width","speed_rate","planned_final_speed","cloth_original_speed","gender","age","attentionScore","participantID","experiment_start_time","experiment_end_time","browser"
"9341.900000000373","29","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[4385.300000000745]","[""29""]","test","html-slider-response","21","360132","0.0-21.0","1","0","wind_m1_s0125","60","44.8","67.2","50.25","112","511","122.56","261.11","183.02","1.75","70","90.42","90.42","9.88","16","2.4","960","1536","0.973322342069355","171.19859251397378","175.89095114162586","female","59","76","plc-size-stf_5a0a02fba383a100011b4b5e","51949.299999999814","""2025-10-10T00:20:03.086Z""","{""browser"":""Chrome"",""version"":""141""}"
"6057.199999999255","39","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[4448.5999999996275]","[""39""]","test","html-slider-response","25","376496","0.0-25.0","2","1","wind_m1_s0125","60","47.3","66.9","49.95","112","511","82.19","301.35","176.38","1.75","70","64.39","64.39","10.21","16","2.4","960","1536","0.973322342069355","171.19859251397378","175.89095114162586","female","59","76","plc-size-stf_5a0a02fba383a100011b4b5e","51949.299999999814","""2025-10-10T00:20:03.086Z""","{""browser"":""Chrome"",""version"":""141""}"
"9172.699999999255","37","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[7863.799999998882]","[""37""]","test","html-slider-response","29","395593","0.0-29.0","3","0","wind_m1_s0125","60","46.9","66","50.29","112","511","84.44","311.47","176.56","1.75","70","107.86","107.86","9.88","16","2.4","960","1536","0.973322342069355","171.19859251397378","175.89095114162586","female","59","76","plc-size-stf_5a0a02fba383a100011b4b5e","51949.299999999814","""2025-10-10T00:20:03.086Z""","{""browser"":""Chrome"",""version"":""141""}"
"4508.4000000003725","67","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[3071.60000000149]","[""67""]","test","html-slider-response","33","410446","0.0-33.0","4","2","wind_m1_s0125","60","48.3","66.3","49.91","112","511","86.81","304.72","175.35","1.75","70","119.38","119.38","10.29","16","2.4","960","1536","0.973322342069355","171.19859251397378","175.89095114162586","female","59","76","plc-size-stf_5a0a02fba383a100011b4b5e","51949.299999999814","""2025-10-10T00:20:03.086Z""","{""browser"":""Chrome"",""version"":""141""}"
"5382.5","90","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[4063]","[""90""]","test","html-slider-response","37","425554","0.0-37.0","5","3","wind_m1_s0125","60","32.6","57.9","49.7","112","511","116.6","230.55","171.25","1.75","70","91.59","91.59","9.66","16","2.4","960","1536","0.973322342069355","171.19859251397378","175.89095114162586","female","59","76","plc-size-stf_5a0a02fba383a100011b4b5e","51949.299999999814","""2025-10-10T00:20:03.086Z""","{""browser"":""Chrome"",""version"":""141""}"
"5275.5999999996275","64","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[3099]","[""64""]","test","html-slider-response","41","441164","0.0-41.0","6","2","wind_m1_s0125","60","46.2","67.2","50.32","112","511","107.04","215.03","159.61","1.75","70","147.46","147.46","10.28","16","2.4","960","1536","0.973322342069355","171.19859251397378","175.89095114162586","female","59","76","plc-size-stf_5a0a02fba383a100011b4b5e","51949.299999999814","""2025-10-10T00:20:03.086Z""","{""browser"":""Chrome"",""version"":""141""}"
"6653.799999998882","92","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[3485.199999999255,5107.5]","[""91"",""92""]","test","html-slider-response","45","457525","0.0-45.0","7","3","wind_m1_s0125","60","33.3","51.4","49.59","112","511","105.51","208.11","155.04","1.75","70","82.88","82.88","9.65","16","2.4","960","1536","0.973322342069355","171.19859251397378","175.89095114162586","female","59","76","plc-size-stf_5a0a02fba383a100011b4b5e","51949.299999999814","""2025-10-10T00:20:03.086Z""","{""browser"":""Chrome"",""version"":""141""}"
"5272.5999999996275","55","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[4133.5999999996275]","[""55""]","test","html-slider-response","49","473109","0.0-49.0","8","1","wind_m1_s0125","60","48.2","66.5","49.92","112","511","113.56","240.68","174.67","1.75","70","90","90","10.22","16","2.4","960","1536","0.973322342069355","171.19859251397378","175.89095114162586","female","59","76","plc-size-stf_5a0a02fba383a100011b4b5e","51949.299999999814","""2025-10-10T00:20:03.086Z""","{""browser"":""Chrome"",""version"":""141""}"
"4379.800000000745","37","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[3045.5]","[""37""]","test","html-slider-response","53","487782","0.0-53.0","9","1","wind_m1_s0125","60","48.2","65.5","49.93","112","511","74.31","275.62","156.58","1.75","70","58.89","58.89","10.22","16","2.4","960","1536","0.973322342069355","171.19859251397378","175.89095114162586","female","59","76","plc-size-stf_5a0a02fba383a100011b4b5e","51949.299999999814","""2025-10-10T00:20:03.086Z""","{""browser"":""Chrome"",""version"":""141""}"
"5356.5","30","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[3871.5]","[""30""]","test","html-slider-response","57","503509","0.0-57.0","10","2","wind_m1_s0125","60","48.4","66.6","50.33","112","511","102.25","353.72","209.69","1.75","70","245.38","245.38","10.29","16","2.4","960","1536","0.973322342069355","171.19859251397378","175.89095114162586","female","59","76","plc-size-stf_5a0a02fba383a100011b4b5e","51949.299999999814","""2025-10-10T00:20:03.086Z""","{""browser"":""Chrome"",""version"":""141""}"
