"rt","response","stimulus","selection_rts","selection_values","trial_category","trial_type","trial_index","time_elapsed","internal_node_id","trial_num","stiffnessLevel","clothType","speedRate","frameDurSet","frameDurActualizedMin","frameDurActualizedMax","frameDurActualizedAvg","minScaledSizePxSet","maxScaledSizePxSet","minScaledSizePxActualized","maxScaledSizePxActualized","avgScaledSizePxActualized","sizeChangingScalingFactorSet","sizeChangingScalingFactorActualized","pixelsPerDegreeSet","pxPerDegreeBasedOnScreenSize","firstFrameSizePx","initialClothDimensionsPx","displayDurationS","dotCount","dotRadiusPx","screenHeight","screenWidth","gender","age","attentionScore","participantID","experiment_start_time","experiment_end_time","browser"
"1793.2999999523163","58","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1011.6000000238419]","[""58""]","test","html-slider-response","25","142202","0.0-25.0","1","2","wind_m1_s0125","","100","100","116.7","104.7","","","","","","","","","54.39","191.56","[191.46,174.05]","","16","","","","other","33","97","plc-size-stf-v1_","6334.600000023842","""2025-10-30T15:41:52.078Z""","{""browser"":""Chrome"",""version"":""141""}"
"1725.5","40","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1275.5]","[""40""]","test","html-slider-response","29","151567","0.0-29.0","2","2","wind_m1_s0125","","100","100","116.8","106.13","","","","","","","","","54.39","120.68","[191.46,174.05]","","16","","","","other","33","97","plc-size-stf-v1_","6334.600000023842","""2025-10-30T15:41:52.078Z""","{""browser"":""Chrome"",""version"":""141""}"
"1327.1999999284744","64","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[960.8999999761581]","[""64""]","test","html-slider-response","33","165251","0.0-33.0","3","0","wind_m1_s00078125","","100","100","116.8","105.49","","","","","","","","","54.39","363.15","[208.86,191.46]","","16","","","","other","33","97","plc-size-stf-v1_","6334.600000023842","""2025-10-30T15:41:52.078Z""","{""browser"":""Chrome"",""version"":""141""}"
"23308.800000071526","60","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[22877.300000071526]","[""60""]","test","html-slider-response","37","198568","0.0-37.0","4","1","wind_m1_s003125","","100","100","119.8","106.84","","","","","","","","","54.39","295.88","[208.86,191.46]","","16","","","","other","33","97","plc-size-stf-v1_","6334.600000023842","""2025-10-30T15:41:52.078Z""","{""browser"":""Chrome"",""version"":""141""}"
"2423.2000000476837","57","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1575]","[""57""]","test","html-slider-response","41","208635","0.0-41.0","5","2","wind_m1_s0125","","100","100","116.7","105.82","","","","","","","","","54.39","215.76","[191.46,174.05]","","16","","","","other","33","97","plc-size-stf-v1_","6334.600000023842","""2025-10-30T15:41:52.078Z""","{""browser"":""Chrome"",""version"":""141""}"
"18111.899999976158","56","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[17608.899999976158]","[""56""]","test","html-slider-response","45","239105","0.0-45.0","6","0","wind_m1_s00078125","","100","100","120.2","107.77","","","","","","","","","54.39","271.23","[208.86,191.46]","","16","","","","other","33","97","plc-size-stf-v1_","6334.600000023842","""2025-10-30T15:41:52.078Z""","{""browser"":""Chrome"",""version"":""141""}"
"1609.2999999523163","52","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1174.7999999523163]","[""52""]","test","html-slider-response","49","250736","0.0-49.0","7","1","wind_m1_s003125","","100","100","116.7","107.51","","","","","","","","","54.39","176.12","[208.86,191.46]","","16","","","","other","33","97","plc-size-stf-v1_","6334.600000023842","""2025-10-30T15:41:52.078Z""","{""browser"":""Chrome"",""version"":""141""}"
"1892.6000000238419","57","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1079.3000000715256]","[""57""]","test","html-slider-response","53","264985","0.0-53.0","8","0","wind_m1_s00078125","","100","100","116.7","105.42","","","","","","","","","54.39","220.31","[208.86,191.46]","","16","","","","other","33","97","plc-size-stf-v1_","6334.600000023842","""2025-10-30T15:41:52.078Z""","{""browser"":""Chrome"",""version"":""141""}"
"2610.7999999523163","64","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1847]","[""64""]","test","html-slider-response","57","275236","0.0-57.0","9","2","wind_m1_s0125","","100","100","116.8","105.6","","","","","","","","","54.39","191.43","[191.46,174.05]","","16","","","","other","33","97","plc-size-stf-v1_","6334.600000023842","""2025-10-30T15:41:52.078Z""","{""browser"":""Chrome"",""version"":""141""}"
"1458.7000000476837","62","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1009.2000000476837]","[""62""]","test","html-slider-response","61","289051","0.0-61.0","10","0","wind_m1_s00078125","","100","100","116.7","104.72","","","","","","","","","54.39","269.21","[208.86,191.46]","","16","","","","other","33","97","plc-size-stf-v1_","6334.600000023842","""2025-10-30T15:41:52.078Z""","{""browser"":""Chrome"",""version"":""141""}"
"10930.800000071526","57","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[10532]","[""57""]","test","html-slider-response","65","309988","0.0-65.0","11","1","wind_m1_s003125","","100","100","116.8","106.66","","","","","","","","","54.39","197","[208.86,191.46]","","16","","","","other","33","97","plc-size-stf-v1_","6334.600000023842","""2025-10-30T15:41:52.078Z""","{""browser"":""Chrome"",""version"":""141""}"
"2511.7999999523163","35","<div style='display: inline-block; margin: 0 auto; color: white; padding: 10px 200px 10px 200px; text-align: left'>How stiff does this cloth seem to you? Higher values indicate higher stiffness.</div>","[1727.1000000238419]","[""35""]","test","html-slider-response","69","322519","0.0-69.0","12","1","wind_m1_s003125","","100","100","117.2","107.16","","","","","","","","","54.39","196.86","[208.86,191.46]","","16","","","","other","33","97","plc-size-stf-v1_","6334.600000023842","""2025-10-30T15:41:52.078Z""","{""browser"":""Chrome"",""version"":""141""}"
